# top domain
td .aero
td .asia
td .biz
td .cat
td .com
td .coop
td .edu
td .gov
td .info
td .int
td .jobs
td .mil
td .mobi
td .museum
td .name
td .net
td .org
td .pro
td .tel
td .travel
td .xxx

# top country
tc .ac
tc .ad
tc .ae
tc .af
tc .ag
tc .ai
tc .al
tc .am
tc .an
tc .ao
tc .aq
tc .ar
tc .as
tc .at
tc .au
tc .aw
tc .ax
tc .az
tc .ba
tc .bb
tc .bd
tc .be
tc .bf
tc .bg
tc .bh
tc .bi
tc .bj
tc .bm
tc .bn
tc .bo
tc .br
tc .bs
tc .bt
tc .bv
tc .bw
tc .by
tc .bz
tc .ca
tc .cc
tc .cd
tc .cf
tc .cg
tc .ch
tc .ci
tc .ck
tc .cl
tc .cm
tc .cn
tc .co
tc .cr
tc .cu
tc .cv
tc .cx
tc .cy
tc .cz
tc .de
tc .dj
tc .dk
tc .dm
tc .do
tc .dz
tc .ec
tc .ee
tc .eg
tc .eh
tc .er
tc .es
tc .et
tc .eu
tc .fi
tc .fj
tc .fk
tc .fm
tc .fo
tc .fr
tc .ga
tc .gb
tc .gd
tc .ge
tc .gf
tc .gg
tc .gh
tc .gi
tc .gl
tc .gm
tc .gn
tc .gp
tc .gq
tc .gr
tc .gs
tc .gt
tc .gu
tc .gw
tc .gy
tc .hk
tc .hm
tc .hn
tc .hr
tc .ht
tc .hu
tc .id
tc .ie
tc .il
tc .im
tc .in
tc .io
tc .iq
tc .ir
tc .is
tc .it
tc .je
tc .jm
tc .jo
tc .jp
tc .ke
tc .kg
tc .kh
tc .ki
tc .km
tc .kn
tc .kp
tc .kr
tc .kw
tc .ky
tc .kz
tc .la
tc .lb
tc .lc
tc .li
tc .lk
tc .lr
tc .ls
tc .lt
tc .lu
tc .lv
tc .ly
tc .ma
tc .mc
tc .md
tc .me
tc .mg
tc .mh
tc .mk
tc .ml
tc .mm
tc .mn
tc .mo
tc .mp
tc .mq
tc .mr
tc .ms
tc .mt
tc .mu
tc .mv
tc .mw
tc .mx
tc .my
tc .mz
tc .na
tc .nc
tc .ne
tc .nf
tc .ng
tc .ni
tc .nl
tc .no
tc .np
tc .nr
tc .nu
tc .nz
tc .om
tc .pa
tc .pe
tc .pf
tc .pg
tc .ph
tc .pk
tc .pl
tc .pm
tc .pn
tc .pr
tc .ps
tc .pt
tc .pw
tc .py
tc .qa
tc .re
tc .ro
tc .rs
tc .ru
tc .rw
tc .sa
tc .sb
tc .sc
tc .sd
tc .se
tc .sg
tc .sh
tc .si
tc .sj
tc .sk
tc .sl
tc .sm
tc .sn
tc .so
tc .sr
tc .st
tc .su
tc .sv
tc .sy
tc .sz
tc .tc
tc .td
tc .tf
tc .tg
tc .th
tc .tj
tc .tk
tc .tl
tc .tm
tc .tn
tc .to
tc .tp
tc .tr
tc .tt
tc .tv
tc .tw
tc .tz
tc .ua
tc .ug
tc .uk
tc .um
tc .us
tc .uy
tc .uz
tc .va
tc .vc
tc .ve
tc .vg
tc .vi
tc .vn
tc .vu
tc .wf
tc .ws
tc .ye
tc .yt
tc .yu
tc .yr
tc .za
tc .zm
tc .zw

# general 2nd domain
2nd .com
2nd .net
2nd .org
2nd .gov
2nd .edu
2nd .co

# country domain
cd .gt .gob
cd .gt .ind
cd .gp .asso
cd .gg .ac
cd .gg .alderney
cd .gg .co
cd .gg .guernsey
cd .gg .ind
cd .gg .ltd
cd .gg .sark
cd .gg .sch
cd .ge .pvt
cd .gn .ac
cd .gi .ltd
cd .gi .mod
cd .tz .ac
cd .tz .co
cd .tz .go
cd .tz .ne
cd .tz .or
cd .tn .edunet
cd .tn .ens
cd .tn .fin
cd .tn .ind
cd .tn .intl
cd .tn .nat
cd .tn .rnrt
cd .tn .rns
cd .tn .rnu
cd .tn .tourism
cd .tv .co
cd .tw .club
cd .tw .ebiz
cd .tw .game
cd .tw .idv
cd .tt .at
cd .tt .au
cd .tt .be
cd .tt .ca
cd .tt .co
cd .tt .de
cd .tt .dk
cd .tt .es
cd .tt .eu
cd .tt .fr
cd .tt .it
cd .tt .nic
cd .tt .se
cd .tt .uk
cd .tt .us
cd .arpa .e164
cd .arpa .in-addr
cd .arpa .ip6
cd .arpa .iris
cd .arpa .uri
cd .arpa .urn
cd .lk .assn
cd .lk .grp
cd .lk .hotel
cd .lk .ltd
cd .lk .ngo
cd .lk .sch
cd .lk .soc
cd .lk .web
cd .lv .asn
cd .lv .conf
cd .lv .id
cd .tj .ac
cd .tj .co
cd .tj .go
cd .tj .web
cd .ls .co
cd .th .ac
cd .th .co
cd .th .go
cd .th .in
cd .th .mi
cd .th .or
cd .tf .at
cd .tf .bg
cd .tf .ca
cd .tf .ch
cd .tf .cz
cd .tf .de
cd .tf .eu
cd .tf .pl
cd .tf .ru
cd .tf .sg
cd .tf .us
cd .ly .id
cd .ly .med
cd .ly .plc
cd .ly .sch
cd .do .art
cd .do .gob
cd .do .sld
cd .do .web
cd .dk .co
cd .dz .art
cd .dz .asso
cd .dz .pol
cd .uy .gub
cd .vu .ch
cd .vu .de
cd .vu .fr
cd .zm .ac
cd .zm .co
cd .zm .sch
cd .ee .co
cd .ee .fie
cd .ee .med
cd .ee .pri
cd .eg .eun
cd .eg .sci
cd .za .ac
cd .za .alt
cd .za .bourse
cd .za .city
cd .za .co
cd .za .law
cd .za .ngo
cd .za .nom
cd .za .school
cd .za .tm
cd .za .web
cd .ec .fin
cd .ec .k12
cd .ec .med
cd .zw .ac
cd .zw .co
cd .es .gob
cd .es .nom
cd .er .ind
cd .ru .ac
cd .ru .adygeya
cd .ru .altai
cd .ru .amur
cd .ru .amursk
